Name,Email,Phone,Year,Dept
Student 105,student105@example.com,9928777999,4,ME
Student 106,student106@example.com,9121011597,2,CE
Student 107,student107@example.com,9490589578,1,ME
Student 108,student108@example.com,9773892076,3,ME
Student 109,student109@example.com,9133144893,4,ME
Student 110,student110@example.com,9998165266,5,ME
Student 111,student111@example.com,9814275454,5,ME
Student 112,student112@example.com,9370580680,2,ME
Student 113,student113@example.com,9896560315,3,EE
Student 114,student114@example.com,9378224721,4,CE
Student 115,student115@example.com,9559232915,3,CS
Student 116,student116@example.com,9979240587,2,CE
Student 117,student117@example.com,9702391360,1,CE
Student 118,student118@example.com,9117807359,5,ME
Student 119,student119@example.com,9177012750,2,CE
Student 120,student120@example.com,9478558797,1,ME
Student 121,student121@example.com,9915169724,3,IT
Student 122,student122@example.com,9820943158,2,ME
Student 123,student123@example.com,9681597317,4,EE
Student 124,student124@example.com,9112387347,5,IT
Student 125,student125@example.com,9479018581,3,EE
Student 126,student126@example.com,9266496240,3,ME
Student 127,student127@example.com,9720023341,2,EE
Student 128,student128@example.com,9422584430,3,ME
Student 129,student129@example.com,9462149508,4,CS
Student 130,student130@example.com,9397821153,1,ME
Student 131,student131@example.com,9247953350,5,CE
Student 132,student132@example.com,9692599020,1,ME
Student 133,student133@example.com,9823551804,2,ME
Student 134,student134@example.com,9429282162,3,CE
Student 135,student135@example.com,9191434675,3,CE
Student 136,student136@example.com,9276496850,3,ME
Student 137,student137@example.com,9420482682,2,EE
Student 138,student138@example.com,9432796792,3,EE
Student 139,student139@example.com,9862543141,5,ME
Student 140,student140@example.com,9997611926,4,CE
Student 141,student141@example.com,9112178631,1,ME
Student 142,student142@example.com,9810912766,3,CE
Student 143,student143@example.com,9879304946,3,CE
Student 144,student144@example.com,9599962443,5,IT
Student 145,student145@example.com,9534895724,2,EE
Student 146,student146@example.com,9501515512,3,IT
Student 147,student147@example.com,9657475939,3,CE
Student 148,student148@example.com,9789932779,5,ME
Student 149,student149@example.com,9189329620,2,CS
Student 150,student150@example.com,9638902971,3,EE
Student 151,student151@example.com,9825579121,4,ME
Student 152,student152@example.com,9140339248,3,CS
Student 153,student153@example.com,9982369469,3,CE
Student 154,student154@example.com,9185618407,2,ME
Student 155,student155@example.com,9917815750,1,IT
Student 156,student156@example.com,9939181099,4,IT
Student 157,student157@example.com,9999792676,4,EE
Student 158,student158@example.com,9615355192,1,IT
Student 159,student159@example.com,9657533798,2,CE
Student 160,student160@example.com,9886836645,1,ME
Student 161,student161@example.com,9132137793,3,CS
Student 162,student162@example.com,9189038514,2,IT
Student 163,student163@example.com,9822473948,4,IT
Student 164,student164@example.com,9274093150,3,ME
Student 165,student165@example.com,9614840264,1,ME
Student 166,student166@example.com,9151020729,4,CE
Student 167,student167@example.com,9882979342,5,EE
Student 168,student168@example.com,9110576568,3,ME
Student 169,student169@example.com,9943285103,2,CE
Student 170,student170@example.com,9302011385,5,CE
Student 171,student171@example.com,9201209170,2,IT
Student 172,student172@example.com,9504691772,4,CE
Student 173,student173@example.com,9519592385,3,CE
Student 174,student174@example.com,9595830997,2,CE
Student 175,student175@example.com,9386691011,1,IT
Student 176,student176@example.com,9198202521,1,CE
Student 177,student177@example.com,9626339593,3,CS
Student 178,student178@example.com,9187144288,4,ME
Student 179,student179@example.com,9745545861,1,ME
Student 180,student180@example.com,9409158188,4,ME
Student 181,student181@example.com,9901770207,3,CS
Student 182,student182@example.com,9532398543,2,CS
Student 183,student183@example.com,9946534533,4,ME
Student 184,student184@example.com,9308778068,2,CS
Student 185,student185@example.com,9848420738,5,ME
Student 186,student186@example.com,9342374119,4,CE
Student 187,student187@example.com,9744322521,5,CS
Student 188,student188@example.com,9329078380,2,EE
Student 189,student189@example.com,9277165873,4,CS
Student 190,student190@example.com,9939677563,2,CS
Student 191,student191@example.com,9925182342,4,ME
Student 192,student192@example.com,9717908186,1,IT
Student 193,student193@example.com,9565604070,2,EE
Student 194,student194@example.com,9886003286,2,ME
Student 195,student195@example.com,9662820652,4,CS
Student 196,student196@example.com,9990768848,1,IT
Student 197,student197@example.com,9132501368,2,CS
Student 198,student198@example.com,9172364326,2,CS
Student 199,student199@example.com,9202112571,1,CE
Student 200,student200@example.com,9561302837,5,CE
Student 201,student201@example.com,9540540380,1,CE
Student 202,student202@example.com,9291989478,4,IT
Student 203,student203@example.com,9527439022,4,ME
Student 204,student204@example.com,9793843078,1,EE
Student 205,student205@example.com,9706622130,5,EE
Student 206,student206@example.com,9575353773,5,CE
Student 207,student207@example.com,9219757090,1,ME
Student 208,student208@example.com,9862205256,3,CE
Student 209,student209@example.com,9945872764,4,IT
Student 210,student210@example.com,9582234398,4,IT
Student 211,student211@example.com,9554618424,4,CE
Student 212,student212@example.com,9228612020,1,ME
Student 213,student213@example.com,9766554085,5,CE
Student 214,student214@example.com,9471365553,3,CE
Student 215,student215@example.com,9221682041,4,CS
Student 216,student216@example.com,9865906202,5,CS
Student 217,student217@example.com,9901113921,5,EE
Student 218,student218@example.com,9108996573,4,IT
Student 219,student219@example.com,9826803857,1,IT
Student 220,student220@example.com,9886110775,2,EE
Student 221,student221@example.com,9486924004,5,IT
Student 222,student222@example.com,9935336296,4,CS
Student 223,student223@example.com,9790915678,5,CE
Student 224,student224@example.com,9229238483,3,CE
Student 225,student225@example.com,9154642776,3,ME
Student 226,student226@example.com,9541930243,4,CS
Student 227,student227@example.com,9164383791,2,CE
Student 228,student228@example.com,9857263043,5,EE
Student 229,student229@example.com,9783211434,4,ME
Student 230,student230@example.com,9986115805,1,CS
Student 231,student231@example.com,9706361344,1,CS
Student 232,student232@example.com,9382497006,5,CS
Student 233,student233@example.com,9781515743,5,EE
Student 234,student234@example.com,9916152945,2,CS
Student 235,student235@example.com,9746135286,3,IT
Student 236,student236@example.com,9376326655,3,EE
Student 237,student237@example.com,9507581105,4,ME
Student 238,student238@example.com,9718354606,5,ME
Student 239,student239@example.com,9816553806,3,CE
Student 240,student240@example.com,9686769697,5,IT
Student 241,student241@example.com,9542737427,5,CS
Student 242,student242@example.com,9904702726,1,ME
Student 243,student243@example.com,9964870803,4,ME
Student 244,student244@example.com,9297464049,1,EE
Student 245,student245@example.com,9673961259,5,ME
Student 246,student246@example.com,9827255627,3,ME
Student 247,student247@example.com,9564066216,5,ME
Student 248,student248@example.com,9365649810,4,ME
Student 249,student249@example.com,9811214317,1,ME
Student 250,student250@example.com,9732096478,4,EE
Student 251,student251@example.com,9886211657,3,EE
Student 252,student252@example.com,9966585277,1,CE
Student 253,student253@example.com,9214355724,5,CE
Student 254,student254@example.com,9809259525,4,ME
Student 255,student255@example.com,9560151588,5,CS
Student 256,student256@example.com,9602042717,5,ME
Student 257,student257@example.com,9607558962,5,ME
Student 258,student258@example.com,9729297491,2,CE
Student 259,student259@example.com,9422217507,2,EE
Student 260,student260@example.com,9246662325,4,IT
Student 261,student261@example.com,9349119609,5,ME
Student 262,student262@example.com,9890402200,4,EE
Student 263,student263@example.com,9758149180,2,CS
Student 264,student264@example.com,9131777484,1,CS
Student 265,student265@example.com,9740525056,5,CS
Student 266,student266@example.com,9179233986,1,CS
Student 267,student267@example.com,9812178075,3,EE
Student 268,student268@example.com,9660444985,1,IT
Student 269,student269@example.com,9743986949,3,CE
Student 270,student270@example.com,9204607645,4,ME
Student 271,student271@example.com,9949889601,2,IT
Student 272,student272@example.com,9892356861,4,EE
Student 273,student273@example.com,9945435632,4,EE
Student 274,student274@example.com,9924552746,4,EE
Student 275,student275@example.com,9866506736,2,CS
Student 276,student276@example.com,9841749937,5,CS
Student 277,student277@example.com,9260510377,2,ME
Student 278,student278@example.com,9208082834,1,IT
Student 279,student279@example.com,9163435891,4,EE
Student 280,student280@example.com,9444206952,2,CS
Student 281,student281@example.com,9108436065,5,CS
Student 282,student282@example.com,9438931534,1,IT
Student 283,student283@example.com,9314954289,3,CS
Student 284,student284@example.com,9931422479,1,IT
Student 285,student285@example.com,9632758379,3,CS
Student 286,student286@example.com,9234446315,3,CS
Student 287,student287@example.com,9404735737,2,CE
Student 288,student288@example.com,9101779291,5,ME
Student 289,student289@example.com,9699756491,5,IT
Student 290,student290@example.com,9613113926,3,CS
Student 291,student291@example.com,9411214349,4,EE
Student 292,student292@example.com,9166383678,4,CE
Student 293,student293@example.com,9967129338,3,CS
Student 294,student294@example.com,9726874668,1,CS
Student 295,student295@example.com,9368575706,5,ME
Student 296,student296@example.com,9302954602,1,EE
Student 297,student297@example.com,9766845039,2,ME
Student 298,student298@example.com,9290308479,5,EE
Student 299,student299@example.com,9502940440,1,CS
Student 300,student300@example.com,9485975372,5,IT
Student 301,student301@example.com,9295645216,2,CE
Student 302,student302@example.com,9287434752,1,IT
Student 303,student303@example.com,9409617279,1,EE
Student 304,student304@example.com,9846454201,3,IT
Student 305,student305@example.com,9281788231,3,CS
Student 306,student306@example.com,9899065757,3,EE
Student 307,student307@example.com,9293014056,4,ME
Student 308,student308@example.com,9888171551,5,IT
Student 309,student309@example.com,9728296463,3,CE
Student 310,student310@example.com,9699811206,2,IT
Student 311,student311@example.com,9984056317,5,IT
Student 312,student312@example.com,9862463858,5,IT
Student 313,student313@example.com,9905420801,5,EE
Student 314,student314@example.com,9732363861,3,CS
Student 315,student315@example.com,9587870830,5,ME
Student 316,student316@example.com,9636521494,4,IT
Student 317,student317@example.com,9505867842,1,CS
Student 318,student318@example.com,9396460581,5,CS
Student 319,student319@example.com,9326362518,5,ME
Student 320,student320@example.com,9216780497,4,CE
Student 321,student321@example.com,9458672980,3,ME
Student 322,student322@example.com,9683166362,1,ME
Student 323,student323@example.com,9973493717,2,CS
Student 324,student324@example.com,9156571250,4,CE
Student 325,student325@example.com,9382772097,2,EE
Student 326,student326@example.com,9266215944,3,EE
Student 327,student327@example.com,9444322577,4,EE
Student 328,student328@example.com,9157239586,2,IT
Student 329,student329@example.com,9886834255,4,EE
Student 330,student330@example.com,9694371692,4,EE
Student 331,student331@example.com,9285012080,2,CE
Student 332,student332@example.com,9915226713,4,ME
Student 333,student333@example.com,9860004249,1,IT
Student 334,student334@example.com,9617596306,5,CE
Student 335,student335@example.com,9443076380,1,CE
Student 336,student336@example.com,9666637331,2,IT
Student 337,student337@example.com,9870486628,4,EE
Student 338,student338@example.com,9401310233,3,IT
Student 339,student339@example.com,9224235474,5,CE
Student 340,student340@example.com,9879887191,2,EE
Student 341,student341@example.com,9354517523,3,EE
Student 342,student342@example.com,9345125956,5,EE
Student 343,student343@example.com,9238805089,1,IT
Student 344,student344@example.com,9184439692,4,ME
Student 345,student345@example.com,9352728981,3,CS
Student 346,student346@example.com,9654926702,1,ME
Student 347,student347@example.com,9202893258,3,IT
Student 348,student348@example.com,9474191253,3,ME
Student 349,student349@example.com,9498604235,4,IT
Student 350,student350@example.com,9733618185,2,CE
Student 351,student351@example.com,9308824456,3,IT
Student 352,student352@example.com,9483712407,2,CS
Student 353,student353@example.com,9292305675,4,EE
Student 354,student354@example.com,9240522909,3,EE
Student 355,student355@example.com,9606329532,3,IT
Student 356,student356@example.com,9129110213,4,CE
Student 357,student357@example.com,9763257112,2,ME
Student 358,student358@example.com,9311293434,2,CE
Student 359,student359@example.com,9785729415,2,EE
Student 360,student360@example.com,9264235320,3,ME
Student 361,student361@example.com,9741550453,5,ME
Student 362,student362@example.com,9206570122,2,CS
Student 363,student363@example.com,9172778325,2,CS
Student 364,student364@example.com,9264427160,5,ME
Student 365,student365@example.com,9151851690,1,CE
Student 366,student366@example.com,9120176743,4,CS
Student 367,student367@example.com,9643840542,5,ME
Student 368,student368@example.com,9936907708,1,ME
Student 369,student369@example.com,9338008739,2,ME
Student 370,student370@example.com,9110296552,3,IT
Student 371,student371@example.com,9243727620,2,CS
Student 372,student372@example.com,9740727055,3,CE
Student 373,student373@example.com,9820196068,1,IT
Student 374,student374@example.com,9818284683,3,CE
Student 375,student375@example.com,9282380311,5,ME
Student 376,student376@example.com,9566285298,1,IT
Student 377,student377@example.com,9226619978,1,EE
Student 378,student378@example.com,9838441803,5,CE
Student 379,student379@example.com,9371739547,2,ME
Student 380,student380@example.com,9220766739,5,CS
Student 381,student381@example.com,9148984138,1,CE
Student 382,student382@example.com,9924244785,2,IT
Student 383,student383@example.com,9723374473,3,IT
Student 384,student384@example.com,9924169501,3,EE
Student 385,student385@example.com,9838881147,1,ME
Student 386,student386@example.com,9864306416,1,CE
Student 387,student387@example.com,9980921292,2,CS
Student 388,student388@example.com,9415795321,3,ME
Student 389,student389@example.com,9904708116,1,CS
Student 390,student390@example.com,9134213063,4,ME
Student 391,student391@example.com,9947323236,2,ME
Student 392,student392@example.com,9257450526,2,EE
Student 393,student393@example.com,9464938204,3,CE
Student 394,student394@example.com,9977715875,1,IT
Student 395,student395@example.com,9591933447,3,ME
Student 396,student396@example.com,9482182475,1,CS
Student 397,student397@example.com,9253761555,4,CE
Student 398,student398@example.com,9302636900,2,ME
Student 399,student399@example.com,9191093034,5,CE
Student 400,student400@example.com,9745664004,3,IT
Student 401,student401@example.com,9716365013,2,IT
Student 402,student402@example.com,9566756567,5,CE
Student 403,student403@example.com,9787970257,3,CE
Student 404,student404@example.com,9218639123,5,CS
Student 405,student405@example.com,9508805052,1,ME
Student 406,student406@example.com,9808489350,5,EE
Student 407,student407@example.com,9432620433,3,CS
Student 408,student408@example.com,9983169024,1,CS
Student 409,student409@example.com,9188047184,2,IT
Student 410,student410@example.com,9197781815,2,CS
Student 411,student411@example.com,9673739089,4,ME
Student 412,student412@example.com,9574891066,1,CE
Student 413,student413@example.com,9884351638,5,IT
Student 414,student414@example.com,9619743692,4,IT
Student 415,student415@example.com,9755769804,3,ME
Student 416,student416@example.com,9267542853,3,ME
Student 417,student417@example.com,9348772278,1,ME
Student 418,student418@example.com,9380774336,1,ME
Student 419,student419@example.com,9102413069,2,CE
Student 420,student420@example.com,9367515648,2,ME
Student 421,student421@example.com,9475367015,2,ME
Student 422,student422@example.com,9525702796,4,CE
Student 423,student423@example.com,9887733581,5,CE
Student 424,student424@example.com,9209680092,3,CS
Student 425,student425@example.com,9837784517,2,ME
Student 426,student426@example.com,9274941228,1,ME
Student 427,student427@example.com,9471240725,3,IT
Student 428,student428@example.com,9220628860,2,ME
Student 429,student429@example.com,9181267046,3,IT
Student 430,student430@example.com,9687052739,1,ME
Student 431,student431@example.com,9976282352,5,EE
Student 432,student432@example.com,9358177814,2,IT
Student 433,student433@example.com,9519545753,2,EE
Student 434,student434@example.com,9113474034,1,EE
Student 435,student435@example.com,9769243410,1,CE
Student 436,student436@example.com,9954480720,4,ME
Student 437,student437@example.com,9322600357,4,IT
Student 438,student438@example.com,9257438758,1,EE
Student 439,student439@example.com,9206520702,3,CS
Student 440,student440@example.com,9155176106,5,ME
Student 441,student441@example.com,9666315294,5,CS
Student 442,student442@example.com,9570210085,3,CS
Student 443,student443@example.com,9519074051,3,ME
Student 444,student444@example.com,9741407436,5,IT
Student 445,student445@example.com,9841300518,1,CE
Student 446,student446@example.com,9561064272,4,EE
Student 447,student447@example.com,9595616189,2,ME
Student 448,student448@example.com,9441845622,1,CS
Student 449,student449@example.com,9666570853,3,IT
Student 450,student450@example.com,9510415344,1,ME
Student 451,student451@example.com,9498864652,1,CS
Student 452,student452@example.com,9146145655,4,IT
Student 453,student453@example.com,9316927944,2,CE
Student 454,student454@example.com,9894445732,4,EE
Student 455,student455@example.com,9120699606,5,ME
Student 456,student456@example.com,9828653736,2,IT
Student 457,student457@example.com,9322473493,5,CE
Student 458,student458@example.com,9609992589,1,EE
Student 459,student459@example.com,9421752846,4,IT
Student 460,student460@example.com,9769709803,4,ME
Student 461,student461@example.com,9570508829,2,EE
Student 462,student462@example.com,9519827784,1,EE
Student 463,student463@example.com,9556249981,2,CE
Student 464,student464@example.com,9425417719,4,IT
Student 465,student465@example.com,9122288665,2,CE
Student 466,student466@example.com,9149411158,1,IT
Student 467,student467@example.com,9687867403,2,CE
Student 468,student468@example.com,9202955721,4,ME
Student 469,student469@example.com,9504648972,2,EE
Student 470,student470@example.com,9328358934,4,ME
Student 471,student471@example.com,9690074693,3,ME
Student 472,student472@example.com,9610051209,2,ME
Student 473,student473@example.com,9732136471,5,CE
Student 474,student474@example.com,9249958530,1,CS
Student 475,student475@example.com,9601601345,4,ME
Student 476,student476@example.com,9252652908,2,IT
Student 477,student477@example.com,9506866037,4,CS
Student 478,student478@example.com,9174089820,1,IT
Student 479,student479@example.com,9615934369,3,CS
Student 480,student480@example.com,9292067675,4,CE
Student 481,student481@example.com,9235533111,4,CS
Student 482,student482@example.com,9222768700,2,ME
Student 483,student483@example.com,9990327822,3,CE
Student 484,student484@example.com,9322212704,3,CS
Student 485,student485@example.com,9226310953,2,CE
Student 486,student486@example.com,9595675967,1,CE
Student 487,student487@example.com,9559892539,5,EE
Student 488,student488@example.com,9326704490,1,ME
Student 489,student489@example.com,9484637755,4,ME
Student 490,student490@example.com,9222778141,2,IT
Student 491,student491@example.com,9625992225,3,IT
Student 492,student492@example.com,9770300207,2,CS
Student 493,student493@example.com,9805269855,2,CE
Student 494,student494@example.com,9673117433,3,CS
Student 495,student495@example.com,9191493387,5,IT
Student 496,student496@example.com,9154574095,1,CE
Student 497,student497@example.com,9365980577,5,EE
Student 498,student498@example.com,9514490295,5,CS
Student 499,student499@example.com,9844260098,3,CE
Student 500,student500@example.com,9634134131,4,CE
Student 501,student501@example.com,9988562053,5,CE
Student 502,student502@example.com,9100063397,3,EE
Student 503,student503@example.com,9360975362,4,CE
Student 504,student504@example.com,9208182709,2,CS
Student 505,student505@example.com,9578663549,5,IT
Student 506,student506@example.com,9288603044,2,CS
Student 507,student507@example.com,9250932224,2,EE
Student 508,student508@example.com,9727394731,2,ME
Student 509,student509@example.com,9487266039,2,CS
Student 510,student510@example.com,9612751803,2,CE
Student 511,student511@example.com,9635473744,5,IT
Student 512,student512@example.com,9672505918,2,CE
Student 513,student513@example.com,9808194272,3,IT
Student 514,student514@example.com,9900386402,4,EE
Student 515,student515@example.com,9429830066,3,CS
Student 516,student516@example.com,9709717916,4,IT
Student 517,student517@example.com,9232412738,5,CS
Student 518,student518@example.com,9151270571,5,CS
Student 519,student519@example.com,9905120935,4,IT
Student 520,student520@example.com,9389588317,5,ME
Student 521,student521@example.com,9728354032,1,IT
Student 522,student522@example.com,9341546450,1,EE
Student 523,student523@example.com,9452533211,5,IT
Student 524,student524@example.com,9516910789,2,EE
Student 525,student525@example.com,9324452397,2,CE
Student 526,student526@example.com,9211045107,5,IT
Student 527,student527@example.com,9974773538,3,IT
Student 528,student528@example.com,9667416365,1,ME
Student 529,student529@example.com,9991071803,5,CS
Student 530,student530@example.com,9875788712,3,EE
Student 531,student531@example.com,9689969700,1,ME
Student 532,student532@example.com,9323554576,2,EE
Student 533,student533@example.com,9887181121,4,EE
Student 534,student534@example.com,9299419966,1,IT
Student 535,student535@example.com,9137618107,1,CE
Student 536,student536@example.com,9699369946,4,ME
Student 537,student537@example.com,9670319183,1,IT
Student 538,student538@example.com,9969016493,2,ME
Student 539,student539@example.com,9406652606,3,EE
Student 540,student540@example.com,9192486315,1,EE
Student 541,student541@example.com,9994287661,2,EE
Student 542,student542@example.com,9427233116,4,CS
Student 543,student543@example.com,9842760516,5,CS
Student 544,student544@example.com,9938633785,3,ME
Student 545,student545@example.com,9214534161,1,EE
Student 546,student546@example.com,9816620850,1,ME
Student 547,student547@example.com,9996109491,4,CE
Student 548,student548@example.com,9715975285,4,CE
Student 549,student549@example.com,9665767248,2,CS
Student 550,student550@example.com,9855008485,4,IT
Student 551,student551@example.com,9312583437,1,CS
Student 552,student552@example.com,9371688506,5,CS
Student 553,student553@example.com,9300460845,2,CS
Student 554,student554@example.com,9628545775,4,CE
Student 555,student555@example.com,9563778774,3,IT
Student 556,student556@example.com,9828487259,1,CE
Student 557,student557@example.com,9634879961,3,ME
Student 558,student558@example.com,9136063960,2,ME
Student 559,student559@example.com,9723530035,2,EE
Student 560,student560@example.com,9636659131,5,CE
Student 561,student561@example.com,9764181992,1,CE
Student 562,student562@example.com,9541294521,5,CE
Student 563,student563@example.com,9892316880,5,IT
Student 564,student564@example.com,9890333076,2,ME
Student 565,student565@example.com,9521389438,3,IT
Student 566,student566@example.com,9492491565,5,IT
Student 567,student567@example.com,9976071424,2,IT
Student 568,student568@example.com,9552977157,1,ME
Student 569,student569@example.com,9777301203,2,EE
Student 570,student570@example.com,9377683296,2,CS
Student 571,student571@example.com,9137214270,3,EE
Student 572,student572@example.com,9607028612,3,CE
Student 573,student573@example.com,9315443902,4,IT
Student 574,student574@example.com,9738325998,1,CS
Student 575,student575@example.com,9905146839,4,CE
Student 576,student576@example.com,9559446539,5,ME
Student 577,student577@example.com,9381139996,4,ME
Student 578,student578@example.com,9845103232,5,CS
Student 579,student579@example.com,9952510084,3,EE
Student 580,student580@example.com,9681360263,4,IT
Student 581,student581@example.com,9614175233,4,ME
Student 582,student582@example.com,9111607266,1,IT
Student 583,student583@example.com,9151901780,5,ME
Student 584,student584@example.com,9534019275,1,EE
Student 585,student585@example.com,9742262330,4,CE
Student 586,student586@example.com,9495441087,2,CS
Student 587,student587@example.com,9886931266,3,ME
Student 588,student588@example.com,9640983939,3,ME
Student 589,student589@example.com,9682540594,3,CS
Student 590,student590@example.com,9899599814,2,CS
Student 591,student591@example.com,9675814318,1,EE
Student 592,student592@example.com,9684747694,3,IT
Student 593,student593@example.com,9809735246,2,CS
Student 594,student594@example.com,9185359400,5,CE
Student 595,student595@example.com,9749420296,3,CE
Student 596,student596@example.com,9720261818,1,ME
Student 597,student597@example.com,9730714944,5,EE
Student 598,student598@example.com,9311200205,1,IT
Student 599,student599@example.com,9282239616,1,IT
Student 600,student600@example.com,9783682052,4,ME
Student 601,student601@example.com,9991545485,1,ME
Student 602,student602@example.com,9168494514,2,CE
Student 603,student603@example.com,9873009565,5,ME
Student 604,student604@example.com,9739293378,4,ME
Student 605,student605@example.com,9488999294,3,CE
Student 606,student606@example.com,9902128587,5,EE
Student 607,student607@example.com,9208122079,3,CS
Student 608,student608@example.com,9904393761,5,CS
Student 609,student609@example.com,9448340734,5,IT
Student 610,student610@example.com,9509122438,5,EE
Student 611,student611@example.com,9745782992,2,IT
Student 612,student612@example.com,9537487098,5,CS
Student 613,student613@example.com,9575073478,1,CE
Student 614,student614@example.com,9835412236,3,ME
Student 615,student615@example.com,9215654079,4,EE
Student 616,student616@example.com,9425655423,3,IT
Student 617,student617@example.com,9783245774,3,EE
Student 618,student618@example.com,9704512629,1,CS
Student 619,student619@example.com,9784309087,2,CE
Student 620,student620@example.com,9670941195,4,CE
Student 621,student621@example.com,9954407641,2,ME
Student 622,student622@example.com,9331715348,5,CS
Student 623,student623@example.com,9412123134,1,CS
Student 624,student624@example.com,9750944496,4,ME
Student 625,student625@example.com,9657625500,5,ME
Student 626,student626@example.com,9778279133,4,CE
Student 627,student627@example.com,9830292779,2,IT
Student 628,student628@example.com,9878779745,5,ME
Student 629,student629@example.com,9477538145,3,CS
Student 630,student630@example.com,9205373287,1,IT
Student 631,student631@example.com,9774493291,1,CS
Student 632,student632@example.com,9671329790,5,CS
Student 633,student633@example.com,9125739439,2,ME
Student 634,student634@example.com,9776969598,5,ME
